"sentence","label","knowledge_dimension","cognitive_process"
"Summarize recovery procedure for pneumatic cylinder; explain restart method from zone Z4; describe reset for pneumatic gripper 2.","Procedural_Understand","Procedural","Understand"
"Explain the safety symbols on polyethylene tube; interpret the warning label from bin B1; describe the hazard class via encoder module 1.","Factual_Understand","Factual","Understand"
"Design new procedure for stepper driver; create optimized workflow from storage unit 1.","Procedural_Create","Procedural","Create"
"Describe the texture of junction box surface; summarize the dimensions from bin B1; illustrate the weight distribution via gripper D.","Factual_Understand","Factual","Understand"
"Assess procedure effectiveness for tea cup; evaluate protocol efficiency from the table 4; judge success of gripper B.","Procedural_Evaluate","Procedural","Evaluate"
"Carry out assembly for vibration monitor; execute construction steps from bin B5; perform build on gripper C within 55s.","Procedural_Apply","Procedural","Apply"
"Apply weight class handling for servo motor; use size guidelines from the table 8.","Conceptual_Apply","Conceptual","Apply"
"Deconstruct the neodymium magnet assembly from zone Z3; break down the component list.","Factual_Analyze","Factual","Analyze"
"Critique categorization of fuse holder from bin C3; judge if item belongs in zone; assess labeling accuracy via rotary actuator 2.","Conceptual_Evaluate","Conceptual","Evaluate"
"Recall the dimensions of platinum wire from shelf S3; identify the color code; list the material type via vision sensor 3.","Factual_Remember","Factual","Remember"
"Design new category for lithium battery; formulate tagging system from storage unit 3; invent sorting rule for gripper A.","Conceptual_Create","Conceptual","Create"
"Self-regulate performance for rubber gasket; adjust effort from the table 1; adapt attention for magnetic head 2 consistently.","Metacognitive_Apply","Metacognitive","Apply"
"Interpret protocol framework for steel wrench; explain procedure categories from the table 3; clarify method types via ultrasonic sensor 1.","Conceptual_Understand","Conceptual","Understand"
"Recognize performance baseline for fiber optic cable; identify benchmark from station ST3; recall target for servo controller 2.","Metacognitive_Remember","Metacognitive","Remember"
"State the category class for rubber gasket; recall sorting rule from zone Z2.","Conceptual_Remember","Conceptual","Remember"
"Probe testing procedure for gas detector; investigate validation from rack R5; analyze verification for lidar unit 2.","Procedural_Analyze","Procedural","Analyze"
"Build acrylic panel assembly with full power; construct mounting bracket from storage unit 5.","Factual_Create","Factual","Create"
"Reflect on success of cellphone move; assess confidence of grasp from workcell W5.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Formulate priority scheme for encoder wheel; design urgency classification from shelf S6; create tier system via encoder module 1.","Conceptual_Create","Conceptual","Create"
"Enumerate the specifications of junction box; name the manufacturer label from bin B3.","Factual_Remember","Factual","Remember"
"Use fragile handling for temperature probe; apply delicate protocol from zone Z3.","Conceptual_Apply","Conceptual","Apply"
"Recall last operation on glass vial; identify previous state from rack R4; state current mode of servo controller 1.","Metacognitive_Remember","Metacognitive","Remember"
"Use the brass connector in under 10s; apply the label from rack R5.","Factual_Apply","Factual","Apply"
"Adjust confidence thresholds for metal gear; adapt certainty parameters from bin A5.","Metacognitive_Apply","Metacognitive","Apply"
"Rate maintenance effectiveness for tea cup; evaluate service quality from bin B3; assess inspection of force sensor B.","Procedural_Evaluate","Procedural","Evaluate"
"Apply awareness enhancement for aluminum bracket; use attention techniques from rack R3.","Metacognitive_Apply","Metacognitive","Apply"
"Critique learning progress for metal gear; evaluate skill development from workcell W4.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Apply priority protocol to carbon fiber sheet; use urgency rules from station ST1.","Conceptual_Apply","Conceptual","Apply"
"Locate the certification mark on teflon washer; recognize the safety label from storage unit 1; name the compliance code using joint 1.","Factual_Remember","Factual","Remember"
"Recall safety class for proximity switch; state hazard category from workcell W2.","Conceptual_Remember","Conceptual","Remember"
"Design performance optimization for stainless steel valve; create efficiency enhancement from shelf S2; develop consistency protocol for torque sensor 3.","Metacognitive_Create","Metacognitive","Create"
"Survey category items for pneumatic cylinder from zone Z3; examine class distribution; analyze proportions via lidar unit 1.","Conceptual_Analyze","Conceptual","Analyze"
"Execute material handling for titanium bolt; apply composition rules from rack R3.","Conceptual_Apply","Conceptual","Apply"
"Validate specifications of chemical flask from zone Z3; confirm tolerances.","Factual_Evaluate","Factual","Evaluate"
"Name the theory behind platinum wire handling; recall the principle from shelf S4; state governing rule for vision sensor 1.","Conceptual_Remember","Conceptual","Remember"
"Apply error correction for terminal block; use self-debugging from bin B5; implement fault recovery for force sensor C immediately.","Metacognitive_Apply","Metacognitive","Apply"
"Examine relationship between lithium battery categories; investigate hierarchy from shelf S1.","Conceptual_Analyze","Conceptual","Analyze"
"Name maintenance procedure for acrylic panel; recall service steps from sorting bench 2; list inspection routine for tactile sensor array.","Procedural_Remember","Procedural","Remember"
"Enumerate the specifications of pneumatic cylinder; name the manufacturer label from workcell W6.","Factual_Remember","Factual","Remember"
"Generate decision improvement for brass connector; create reasoning enhancement from station ST2.","Metacognitive_Create","Metacognitive","Create"
"Compare safety categories for tungsten electrode; distinguish risk classes from shelf S2.","Conceptual_Analyze","Conceptual","Analyze"
"Rate performance consistency for cable gland; evaluate efficiency stability from storage unit 6.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Explain current system state for quartz crystal; describe condition from rack R2; summarize status of torque sensor 3.","Metacognitive_Understand","Metacognitive","Understand"
"Assess weight of cellphone from zone Z1; measure dimensions accurately; evaluate compliance via magnetic head 2.","Factual_Evaluate","Factual","Evaluate"
"Identify priority level of nylon gear; recall urgency class from bin A1; state importance tier for servo controller 2.","Conceptual_Remember","Conceptual","Remember"
"Design recovery procedure for kevlar strap; create restart sequence from shelf S2; develop reset for servo controller 2.","Procedural_Create","Procedural","Create"
"Identify priority level of aluminum bracket; recall urgency class from zone Z4; state importance tier for torque sensor 3.","Conceptual_Remember","Conceptual","Remember"
"Recognize performance baseline for servo motor; identify benchmark from conveyor belt 3; recall target for servo controller 1.","Metacognitive_Remember","Metacognitive","Remember"
"Assemble brass connector components accurately; construct complete unit from workcell W8.","Factual_Create","Factual","Create"
"Explain operation sequence for limit sensor; paraphrase manual from the table 2.","Procedural_Understand","Procedural","Understand"
"Compare procedures for gas detector; contrast methods from workcell W8.","Procedural_Analyze","Procedural","Analyze"
"Segment the circuit board batch from sorting bench 1; partition by category; divide using joint 3 criteria.","Factual_Analyze","Factual","Analyze"
"Debug resource allocation for nylon gear; analyze capacity management from rack R4.","Metacognitive_Analyze","Metacognitive","Analyze"
"Illustrate the component layout of pressure gauge; clarify the pin configuration from zone Z4; explain the wiring via servo controller 1.","Factual_Understand","Factual","Understand"
"Rate quality of junction box from the table 3; score condition on scale.","Factual_Evaluate","Factual","Evaluate"
"Use metacognitive strategies for ceramic capacitor; apply reflection from the table 3.","Metacognitive_Apply","Metacognitive","Apply"
"Summarize calibration method for sapphire lens; explain adjustment procedure from workcell W6.","Procedural_Understand","Procedural","Understand"
"Probe rubber gasket for hidden damage from storage unit 3; investigate internal components.","Factual_Analyze","Factual","Analyze"
"Implement settings on circuit board; apply the configuration from storage unit 5; use the preset mode of depth camera 2 safely.","Factual_Apply","Factual","Apply"
"Mount the cable gland efficiently; install the component from shelf S7.","Factual_Apply","Factual","Apply"
"Recognize decision history for pressure sensor; identify previous choices from storage unit 4.","Metacognitive_Remember","Metacognitive","Remember"
"Design adaptive control for pressure sensor; create self-regulation mechanism from sorting bench 3.","Metacognitive_Create","Metacognitive","Create"
"Differentiate kevlar strap from debris from rack R1; isolate the specific component using joint 6.","Factual_Analyze","Factual","Analyze"
"Use fragile handling for cellphone; apply delicate protocol from workcell W6; demonstrate careful technique with force sensor C.","Conceptual_Apply","Conceptual","Apply"
"Inspect gas detector for defects from station ST3; review quality markers; evaluate via vacuum generator 2 scan.","Factual_Evaluate","Factual","Evaluate"
"State the part category of platinum wire; name the component family from shelf S10.","Factual_Remember","Factual","Remember"
"Examine performance variation for red apple; analyze efficiency fluctuation from workcell W2; investigate trend of depth camera 1.","Metacognitive_Analyze","Metacognitive","Analyze"
"Invent new category for proximity switch; design classification for items from workcell W8; create grouping via gripper B.","Conceptual_Create","Conceptual","Create"
"Rate priority assignment for plastic bag; judge urgency classification from bin B2; assess tier via magnetic head 3.","Conceptual_Evaluate","Conceptual","Evaluate"
"Plan new route for nickel alloy rod; compose automation script from bin C2.","Procedural_Create","Procedural","Create"
"Manufacture brass connector batch from storage unit 5; fabricate production run; build using force sensor C before the deadline.","Factual_Create","Factual","Create"
"Critique categorization of rubber gasket from storage unit 4; judge if item belongs in zone; assess labeling accuracy via thermal camera 2.","Conceptual_Evaluate","Conceptual","Evaluate"
"Generate confidence calibration for sapphire lens; create certainty validation from the table 5.","Metacognitive_Create","Metacognitive","Create"
"State the part category of nickel alloy rod; name the component family from bin B2; identify the class via proximity detector 2.","Factual_Remember","Factual","Remember"
"Debug resource allocation for chemical flask; analyze capacity management from shelf S10; investigate load balancing of force sensor A.","Metacognitive_Analyze","Metacognitive","Analyze"
"Enumerate the specifications of plastic bag; name the manufacturer label from rack R3; recall the weight data from magnetic head 2.","Factual_Remember","Factual","Remember"
"Evaluate protocol selection for epoxy resin block; assess procedure category from bin B5; judge method via force sensor B.","Conceptual_Evaluate","Conceptual","Evaluate"
"Audit configuration process for tea cup; evaluate setup quality from workcell W2.","Procedural_Evaluate","Procedural","Evaluate"
"Inspect junction box for defects from rack R2; review quality markers; evaluate via magnetic head 2 scan.","Factual_Evaluate","Factual","Evaluate"
"Adapt behavior pattern for pneumatic cylinder; adjust response strategy from the table 6; self-tune parameters of pneumatic gripper 1 within 45s.","Metacognitive_Apply","Metacognitive","Apply"
"Construct silicone gasket housing strictly; create enclosure from zone Z4.","Factual_Create","Factual","Create"
"Recall last operation on pneumatic cylinder; identify previous state from bin A2; state current mode of suction cup C.","Metacognitive_Remember","Metacognitive","Remember"
"Apply error correction for cable gland; use self-debugging from rack R2.","Metacognitive_Apply","Metacognitive","Apply"
"List the expiry date of graphene membrane from shelf S6; identify the lot number.","Factual_Remember","Factual","Remember"
"Reflect on success of nickel alloy rod move; assess confidence of grasp from the table 3.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Create classification framework for nylon gear; develop categorization scheme from storage unit 4; design methodology via torque sensor 2.","Conceptual_Create","Conceptual","Create"
"Summarize handling principles for potentiometer dial; explain classification from bin C2; describe categorization via lidar unit 1.","Conceptual_Understand","Conceptual","Understand"
"Examine maintenance protocol for potentiometer dial; analyze service procedure from workcell W2; investigate inspection for pneumatic gripper 1.","Procedural_Analyze","Procedural","Analyze"
"Formulate error prevention for pneumatic cylinder; create fault tolerance from storage unit 2; develop resilience framework for proximity detector 2.","Metacognitive_Create","Metacognitive","Create"
"Adjust confidence thresholds for fiber optic cable; adapt certainty parameters from workcell W8; self-calibrate reliability of encoder module 1 smoothly.","Metacognitive_Apply","Metacognitive","Apply"
"Apply priority protocol to vibration monitor; use urgency rules from shelf S4.","Conceptual_Apply","Conceptual","Apply"
"Classify graphene membrane as hazardous material; interpret the symbol from shelf S9; explain storage category for magnetic head 2.","Conceptual_Understand","Conceptual","Understand"
"Rate quality of platinum wire from the table 5; score condition on scale; grade appearance via force sensor A.","Factual_Evaluate","Factual","Evaluate"
"Critique categorization of potentiometer dial from storage unit 4; judge if item belongs in zone.","Conceptual_Evaluate","Conceptual","Evaluate"
"Evaluate protocol selection for carbon fiber sheet; assess procedure category from bin B1; judge method via lidar unit 1.","Conceptual_Evaluate","Conceptual","Evaluate"
"Formulate storage categories for pressure sensor; create environment definitions from station ST1; design preservation via joint 5.","Conceptual_Create","Conceptual","Create"
"Apply awareness enhancement for servo motor; use attention techniques from bin A5.","Metacognitive_Apply","Metacognitive","Apply"
"Design new category for copper wire; formulate tagging system from the table 7; invent sorting rule for laser scanner 1.","Conceptual_Create","Conceptual","Create"
"Perform initialization for zirconia bearing; execute boot sequence from bin A4.","Procedural_Apply","Procedural","Apply"
"Compose serial number for solenoid valve; design part ID format from bin C2; formulate code using proximity detector 1.","Factual_Create","Factual","Create"
"Use metacognitive strategies for potentiometer dial; apply reflection from sorting bench 2; implement self-assessment for vision sensor 2 cautiously.","Metacognitive_Apply","Metacognitive","Apply"
"Use fragile handling for nylon gear; apply delicate protocol from shelf S5; demonstrate careful technique with gripper B.","Conceptual_Apply","Conceptual","Apply"
"Enumerate the specifications of fuse holder; name the manufacturer label from shelf S6.","Factual_Remember","Factual","Remember"
"Classify limit sensor as hazardous material; interpret the symbol from workcell W7.","Conceptual_Understand","Conceptual","Understand"
"Summarize recovery procedure for relay module; explain restart method from storage unit 2.","Procedural_Understand","Procedural","Understand"
"Illustrate workflow for brass connector; explain process flow from shelf S8; describe sequence for proximity detector 2.","Procedural_Understand","Procedural","Understand"
"Apply self-monitoring during junction box task; use awareness techniques from workcell W2.","Metacognitive_Apply","Metacognitive","Apply"
"Describe priority scheme for potentiometer dial; explain urgency classification from conveyor belt 1; summarize tier system via torque sensor 2.","Conceptual_Understand","Conceptual","Understand"
"Predict resource consumption for servo motor; estimate capacity needs from workcell W6.","Metacognitive_Understand","Metacognitive","Understand"
"Examine priority relationships for sapphire lens; analyze urgency levels from shelf S1; investigate tier structure via torque sensor 2.","Conceptual_Analyze","Conceptual","Analyze"
"Summarize decision rationale for servo motor; explain choice justification from the intake hopper.","Metacognitive_Understand","Metacognitive","Understand"
"Turn on the teflon washer rapidly; engage the locking mechanism from shelf S7.","Factual_Apply","Factual","Apply"
"Critique safety assignment for relay module; evaluate risk classification from shelf S1.","Conceptual_Evaluate","Conceptual","Evaluate"
"State current error state of flow regulator; recall warning message from zone Z3; identify alert for vision sensor 2.","Metacognitive_Remember","Metacognitive","Remember"
"Deconstruct the flow regulator assembly from bin C5; break down the component list; analyze structure via force sensor B.","Factual_Analyze","Factual","Analyze"
"Formulate error prevention for din rail; create fault tolerance from shelf S9; develop resilience framework for suction cup A.","Metacognitive_Create","Metacognitive","Create"
"Identify priority level of thermal compound tube; recall urgency class from shelf S2; state importance tier for ultrasonic sensor 1.","Conceptual_Remember","Conceptual","Remember"
"Name maintenance procedure for zirconia bearing; recall service steps from shelf S7; list inspection routine for joint 1.","Procedural_Remember","Procedural","Remember"
"Implement hazardous rules for graphene membrane; apply safety principles from conveyor belt 1; use protective method via proximity detector 1.","Conceptual_Apply","Conceptual","Apply"
"Explain the marking purpose on terminal block; paraphrase the product description from zone Z4.","Factual_Understand","Factual","Understand"
"Evaluate decision quality for quartz crystal; assess choice effectiveness from bin C2; judge reasoning accuracy of suction cup B.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Summarize the key features of sponge pad; explain the model differences from workcell W3; describe the packaging via proximity detector 1.","Factual_Understand","Factual","Understand"
"Implement settings on tungsten electrode; apply the configuration from bin A4; use the preset mode of force sensor B precisely.","Factual_Apply","Factual","Apply"
"Analyze startup sequence for kevlar strap; debug initialization from station ST4; examine boot process for servo controller 2.","Procedural_Analyze","Procedural","Analyze"
"Contrast handling methods for aluminum bracket; compare category protocols from shelf S1.","Conceptual_Analyze","Conceptual","Analyze"
"Compose serial number for acrylic panel; design part ID format from the table 4.","Factual_Create","Factual","Create"
"Develop safety classification for metal gear; create risk scheme from rack R2; design hazard grouping via laser scanner 2.","Conceptual_Create","Conceptual","Create"
"Construct theoretical framework for teflon washer; develop conceptual model from the table 6.","Conceptual_Create","Conceptual","Create"
"Execute startup script for circuit board; run calibration sequence from bin B1; perform maintenance on vacuum generator 1 swiftly.","Procedural_Apply","Procedural","Apply"
"Construct red apple housing gently; create enclosure from station ST3; assemble using rotary actuator 1.","Factual_Create","Factual","Create"
"Recognize decision history for gas detector; identify previous choices from the intake hopper.","Metacognitive_Remember","Metacognitive","Remember"
"Rate adaptation effectiveness for potentiometer dial; evaluate adjustment quality from the table 7; assess flexibility of laser scanner 1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Clarify configuration process for metal gear; explain setup procedure from bin A1; describe initialization for force sensor B.","Procedural_Understand","Procedural","Understand"
"Interpret the serial format of cable gland; clarify the barcode meaning from storage unit 1; explain the labeling system of magnetic head 1.","Factual_Understand","Factual","Understand"
"Design new procedure for epoxy resin block; create optimized workflow from conveyor belt 1; develop protocol for pneumatic gripper 2.","Procedural_Create","Procedural","Create"
"Interpret the serial format of lithium battery; clarify the barcode meaning from bin B5.","Factual_Understand","Factual","Understand"
"Name storage category for proximity switch; recall environment class from conveyor belt 1.","Conceptual_Remember","Conceptual","Remember"
"Examine workflow bottlenecks for proximity switch; troubleshoot delay from bin B4.","Procedural_Analyze","Procedural","Analyze"
"Appraise theoretical foundation for servo motor; evaluate principle application from zone Z4.","Conceptual_Evaluate","Conceptual","Evaluate"
"Assess condition of terminal block from station ST3; evaluate packaging integrity.","Factual_Evaluate","Factual","Evaluate"
"Check if vibration monitor from shelf S4 is damaged; verify the expiration date; test battery level using magnetic head 1.","Factual_Evaluate","Factual","Evaluate"
"Formulate storage categories for kevlar strap; create environment definitions from shelf S7; design preservation via laser scanner 2.","Conceptual_Create","Conceptual","Create"
"Implement configuration for quartz crystal; execute setup procedure from bin C5; run initialization on ultrasonic sensor 1 within 60s.","Procedural_Apply","Procedural","Apply"
"Interpret classification system for tungsten electrode; explain grouping method from the table 6; clarify category via lidar unit 1.","Conceptual_Understand","Conceptual","Understand"
"Design new procedure for copper wire; create optimized workflow from shelf S6.","Procedural_Create","Procedural","Create"
"Segment the pressure gauge batch from bin A2; partition by category.","Factual_Analyze","Factual","Analyze"
"Predict battery drain for silicon wafer task; estimate time remaining from shelf S10; interpret warning on magnetic head 1.","Metacognitive_Understand","Metacognitive","Understand"
"Design performance optimization for lead-free solder; create efficiency enhancement from storage unit 3; develop consistency protocol for pressure pad sensor.","Metacognitive_Create","Metacognitive","Create"
"List the expiry date of vibration monitor from bin C4; identify the lot number; recall the production date using laser scanner 2.","Factual_Remember","Factual","Remember"
"Judge confidence calibration for pressure sensor; evaluate certainty reliability from the table 8.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Design recovery procedure for humidity sensor; create restart sequence from bin C1; develop reset for thermal camera 1.","Procedural_Create","Procedural","Create"
"Describe testing methodology for acrylic panel; explain validation process from rack R3.","Procedural_Understand","Procedural","Understand"
"Interpret the serial format of potentiometer dial; clarify the barcode meaning from the staging area.","Factual_Understand","Factual","Understand"
"Plan reflective practice for proximity switch; create self-assessment protocol from zone Z1; design evaluation framework for thermal camera 2.","Metacognitive_Create","Metacognitive","Create"
"Classify humidity sensor as hazardous material; interpret the symbol from bin C4.","Conceptual_Understand","Conceptual","Understand"
"Evaluate protocol selection for fuse holder; assess procedure category from shelf S4.","Conceptual_Evaluate","Conceptual","Evaluate"
"Locate the certification mark on glass vial; recognize the safety label from storage unit 5.","Factual_Remember","Factual","Remember"
"Compose maintenance schedule for teflon washer; create service routine from the table 8.","Procedural_Create","Procedural","Create"
"Invent new category for cellphone; design classification for items from shelf S9; create grouping via gripper C.","Conceptual_Create","Conceptual","Create"
"Critique learning progress for sapphire lens; evaluate skill development from bin A1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Activate the limit sensor using depth camera 1; toggle the power switch from zone Z4; press the reset button by standard.","Factual_Apply","Factual","Apply"
"Self-regulate performance for gas detector; adjust effort from shelf S4.","Metacognitive_Apply","Metacognitive","Apply"
"List the expiry date of tennis ball from shelf S3; identify the lot number.","Factual_Remember","Factual","Remember"
"Assess weight of carbon fiber sheet from shelf S9; measure dimensions accurately; evaluate compliance via force sensor B.","Factual_Evaluate","Factual","Evaluate"
"Implement protocol for pressure gauge; execute standard procedure from the table 8; run sequence on thermal camera 1 in under 20s.","Procedural_Apply","Procedural","Apply"
"Assess procedure effectiveness for kevlar strap; evaluate protocol efficiency from conveyor belt 3.","Procedural_Evaluate","Procedural","Evaluate"
"Probe testing procedure for brass connector; investigate validation from shelf S6.","Procedural_Analyze","Procedural","Analyze"
"List the serial number of the neodymium magnet from station ST3; identify the manufacturing date using encoder module 1; locate the barcode immediately.","Factual_Remember","Factual","Remember"
"Locate the certification mark on rubber gasket; recognize the safety label from shelf S5; name the compliance code using magnetic head 3.","Factual_Remember","Factual","Remember"
"Interpret assembly instructions for teflon washer; explain construction sequence from shelf S10; summarize build for joint 2.","Procedural_Understand","Procedural","Understand"
"Rate adaptation effectiveness for hydraulic pump; evaluate adjustment quality from bin B3.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Explain the marking purpose on ceramic capacitor; paraphrase the product description from bin B4.","Factual_Understand","Factual","Understand"
"Execute category handling for quartz crystal; apply theory from the table 1.","Conceptual_Apply","Conceptual","Apply"
"Compare procedures for potentiometer dial; contrast methods from storage unit 4.","Procedural_Analyze","Procedural","Analyze"
"Operate the teflon washer control panel firmly; execute the power-on from bin C3.","Factual_Apply","Factual","Apply"
"Evaluate decision quality for metal gear; assess choice effectiveness from storage unit 6.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Survey the solenoid valve inventory from the table 1; examine stock levels; inspect quantity via laser scanner 2.","Factual_Analyze","Factual","Analyze"
"Position the cable gland from bin A3; align the part rapidly.","Factual_Apply","Factual","Apply"
"Describe the operational limits of humidity sensor; summarize the tolerance range from shelf S4; explain the calibration needs for vision sensor 1.","Factual_Understand","Factual","Understand"
"Examine maintenance protocol for cable gland; analyze service procedure from conveyor belt 2; investigate inspection for gripper C.","Procedural_Analyze","Procedural","Analyze"
"Execute startup script for silicon wafer; run calibration sequence from storage unit 6; perform maintenance on suction cup A quickly.","Procedural_Apply","Procedural","Apply"
"Examine decision process for terminal block; analyze reasoning patterns from bin A5; investigate choice mechanism of servo controller 1.","Metacognitive_Analyze","Metacognitive","Analyze"
"Invent new category for hydraulic pump; design classification for items from workcell W8.","Conceptual_Create","Conceptual","Create"
"List recovery procedure for nylon gear; recall restart steps from bin C3.","Procedural_Remember","Procedural","Remember"
"Summarize awareness state for chemical flask; explain attention allocation from the table 5; describe focus for magnetic head 1.","Metacognitive_Understand","Metacognitive","Understand"
"Appraise handling method for tea cup; critique applied protocol from bin A5.","Conceptual_Evaluate","Conceptual","Evaluate"
"Verify testing methodology for fiber optic cable; evaluate validation coverage from shelf S2; assess verification for thermal camera 2.","Procedural_Evaluate","Procedural","Evaluate"
"Deconstruct the graphene membrane assembly from bin A5; break down the component list.","Factual_Analyze","Factual","Analyze"
"Compare metal gear to reference model from station ST2; distinguish vintage from modern.","Conceptual_Analyze","Conceptual","Analyze"
"Identify assembly sequence for humidity sensor; recall construction steps from the table 4; list build order for depth camera 1.","Procedural_Remember","Procedural","Remember"
